0.10.0          update "Breaking Changes" doc
0.10.1          format code according to conventions [skip ci]
0.10.10         [Core] DYNAMIC_KEYMAP_EEPROM_MAX_ADDR check (#10315)
0.10.11         Fix ssd1306 compilation on avr-gcc 10 (#9267)
0.10.12         Output an error message if LINK_TIME_OPTIMIZATION_ENABLE is set but LTO_ENABLE is not (#10217)
0.10.13         Add STM32F401/F411 to mcu_selection.mk (#10278)
0.10.14         Add STM32F401/F411 to ARM_PROCESSORS (#10362)
0.10.15         Fix typo in via.c (#10000)
0.10.16         [Keymap] add codecoffeecode keymap for Preonic (#10364)
0.10.17         Add description in Bluetooth docs for requiring NKRO to be disabled (#10359)
0.10.18         CLI/Doctor: Print QMK_HOME (#10398)
0.10.19         Fix Belgian sendstring file (#10443)
0.10.2          Fixed Spanish keymap extra ES_DIAE symbol (#10211)
0.10.20         Fix Belgian sendstring properly (#10444)
0.10.21         `setrgb()`: Use arrow operator (#10451)
0.10.22         Consolidate udev rules into a single file (#9693)
0.10.23         Add logic for AT90USBxx7 where needed (#10203)
0.10.24         MSYS2: Switch to arm-none-eabi-gcc package (#10421)
0.10.25         OLED driver fixes (#10377)
0.10.26         format code according to conventions [skip ci]
0.10.27         Fix for MIDI sustain effect issue (#10361)
0.10.28         CLI: update subcommands to use return instead of exit() (#10323)
0.10.29         Improve LAYOUT macro searching (#9530)
0.10.3          format code according to conventions [skip ci]
0.10.30         [CLI] Add c2json (#8817)
0.10.31         Fix issue introduced by PR#10404 (#10559)
0.10.32         CLI: Fix MCU lists for `qmk info` (#10574)
0.10.33         CLI: Fix stripping of `ANY` from Configurator exports (#10585)
0.10.34         Add STM32Duino to bootloader selection (#10558)
0.10.35         Add STM32Duino to bootloader selection (#10558)
0.10.36         Fix STM32duino bootloader (#10648)
0.10.37         MSYS and WSL installation improvements (#10593)
0.10.38         MSYS and WSL installation improvements (#10593)
0.10.39         50-qmk.rules: Move udev rules from documentation into a file (#10664)
0.10.4          [Keyboard] add rhymestone by marksard (#9708)
0.10.40         Improve ANSI support and --no-color (#10537)
0.10.41         Fix CLI warning for Massdrop udev rule (#10691)
0.10.42         Fix RGB matrix for ATmegaxxU2 (#10723)
0.10.43         [Core] IS31FL3731/36/37 bug fix (#10612)
0.10.44         Add additional auto labeler rules (#10704)
0.10.45         Add layout: 65_iso_blocker_split_bs (#10733)
0.10.46         add rsync to the api update process
0.10.47         `qmk info`: Add `--ascii` flag (#10793)
0.10.48         CLI: Add `qmk clean` (#10785)
0.10.49         Add qmk info -l to show the layouts too (#10882)
0.10.5          Update file changes action (#10245)
0.10.50         Indicator LEDs as config (#10816)
0.10.51         Improve the QMK Lint workflow (#10909)
0.10.52         Recommend use of LED Indicator config (#10895)
0.10.53         Fix typo causing `redefined error` in keymap_french_osx (#10962)
0.10.54         Refactor qmk_install.sh (#10681)
0.10.6          Unflip < and > for canadian mutlilingual (#10222)
0.10.7          quantum/debounce: rename debouncing algorithms (#9564)
0.10.8          Use the force when flashing with dfu-programmer (#10070)
0.10.9          [fix] dfu-programmer <0.7 doesn't support --force flag (#10292)
0.11.0          2020 November 28 Breaking Changes Update (#11053)
0.11.1          nix-shell: add milc dependency (#11086)
0.11.10         Normalise include statements in keyboard code (#11185)
0.11.11         Run cformat and dos2unix manually (#11235)
0.11.12         Various compilation fixes for avr-gcc 10 (#9269)
0.11.13         Add the ability to exclude keyboards from travis builds (#11178)
0.11.14         Follow symlinks when listing keyboards. (#11250)
0.11.15         Fix small typo in V-USB configuration descriptor (#11253)
0.11.16         Fix Issue #9533 - Delayed shift state handling (#11220)
0.11.17         Partial fix for Issue #9405 - Caps Lock not working with Unicode Map's XP on Linux (#11232)
0.11.18         V-USB: Fix initial dropped keypress (#11263)
0.11.19         chibios: honor PLATFORMASM in chibios build (#11219)
0.11.2          nix-shell: add milc dependency (#11086)
0.11.20         Remove comments about custom ldscript for Teensy LC (#11224)
0.11.21         Change include guards in quantum/ to pragma once (#11239)
0.11.22         Change include guards in tmk_core/ and drivers/ to pragma once (#11240)
0.11.23         Ensure single newline at EOF for core files (#11310)
0.11.24         remove some old and unused code from Makefile (#11336)
0.11.25         Remove MATRIX_IS_ON macro (#11330)
0.11.26         [Bug] Fix RGB Matrix Indicators (#11308)
0.11.27         Add missing Debian/Ubuntu dependency to the install script (#11348)
0.11.28         Added mac variant of portuguese keymap extras (#11260)
0.11.29         Add libusb-devel dependency for fedora (#11287)
0.11.3          Fixup config template to match <> instead of "" for includes. (#11166)
0.11.30         Remove useless wait in AVR suspend code (#11352)
0.11.31         Missed a couple more `#pragma once`s (#11351)
0.11.32         Add target 'check-md5' to `build_keyboard.mk` (#11338)
0.11.33         Manually run formatting CI process (#11375)
0.11.34         speed up list_keyboards.sh
0.11.35         Fix broken Lighting Layers when RGBLIGHT_MAX_LAYERS > 16 (#11406)
0.11.36         Align ChibiOS spi_master behaviour with AVR (#11404)
0.11.37         arm_atsam: Use PROGRAM_CMD for :flash target if set (#11424)
0.11.38         Homebrew install: ignore pinned formulae in `brew upgrade` (#11423)
0.11.39         Fix Tap-Hold Configs (#11127)
0.11.4          CI: Add workflow for codebase formatting (#7382)
0.11.40         Add build debug option to tmk_core/rules.mk (#11324)
0.11.41         manually run formatting job (#11503)
0.11.42         Lighting Layers should be disabled when suspended (#11442)
0.11.43         Add support for shared EP on V-USB boards (#11103)
0.11.44         keymap_fr_ch: undef `CH_H` (#11537)
0.11.45         Exclude more keyboards from CI (#11436)
0.11.46         allow customizing decrease delay of rgb heatmap (#11322)
0.11.47         arm_atsam: temporarily lower raw HID endpoint/report size (#11554)
0.11.48         Adafruit BLE cleanups (#11556)
0.11.49         Add BGR byte order for WS2812 drivers (#11562)
0.11.5          Normalise include statements in core code (#11153)
0.11.50         Add syscall fallbacks to ChibiOS builds (#11573)
0.11.51         Fixup declaration for _kill, add other missing syscalls, populate errno. (#11608)
0.11.52         Fix wrong key when "Music Map" is used with MAJOR_MODE. (#11234)
0.11.53         Add stm32-dfu and apm32-dfu to bootloader.mk (#11019)
0.11.54         add get_matrix_scan_rate() to tmk_core/common/keyboard.c (#11489)
0.11.55         Add rgblight_reload_from_eeprom() (#11411)
0.11.56         Add a <FEATURE>_SUPPORTED flag  (#9058)
0.11.57         quantum.c send char cleanups (#11743)
0.11.58         Fix DEBUG_MATRIX_SCAN_RATE on chibiOS when console is enabled (#11776)
0.11.59         Improve Pointing Device report sending (#11064)
0.11.6          Fixed french quotes on canadian multilingual (#11183)
0.11.60         Manually run formatting job (#11797)
0.11.61         Serial refactor (#11521)
0.11.62         Manual formatting fix for serial_uart.c (#11806)
0.11.63         Migrate some tmk_core files to quantum (#11791)
0.11.64         ws2812: Fix number of nops for AVR at 8 MHz (#9559)
0.11.65         Disable VIA protocol's EEPROM reset and bootloader jump commands (#11892)
0.11.66         Split gpio and atomic to platform (#11792)
0.11.67         LED Matrix: add led_matrix_types.h and implement g_led_config (#11741)
0.11.68         LED Matrix: rename `LED_DRIVER_LED_COUNT` to `DRIVER_LED_TOTAL` (#11858)
0.11.69         V-USB suspend refactor (#11891)
0.11.7          Fix incorrect search order for `rgblight_breathe_table.h` that `rgblight.c` includes. (#11192)
0.11.70         2021 February 27 Breaking Changes Update (#12040)
0.11.8          Add i2c 24LC64 eeprom (#11200)
0.11.9          CLI-ify rgblight_breathing_table_calc.c (#11174)
0.12.0          2021 February 27 Breaking Changes Update (#12040)
0.12.1          Force update the version tag
0.12.10         Remove ifdefs for Swap Hands keycodes (#12095)
0.12.11         `qmk generate-rules-mk`: add `--escape` switch for makefile logic (#12101)
0.12.12         add OLED_DRIVER_ENABLE into show_options.mk (#12121)
0.12.13         Remove a few more ifdefs from quantum_keycodes (#12129)
0.12.14         Remove ifdefs for UC and X/XP too (#12131)
0.12.15         Require `BOOTLOADER = qmk-dfu` for `:bootloader` target (#12136)
0.12.16         Remove hex_to_keycode and move tap_random_base64 to send_string.c (#12079)
0.12.17         Fix keycode mappings for via and ensure they don't change within protocol (#12130)
0.12.18         Format code according to conventions (#12244)
